,Nation,Coef,CA
0,Austria,31.3,117.2740741
1,Belarus,7.25,87.64
2,Belgium,46.1,117.7857143
3,Bulgaria,21.25,101.9834254
4,Croatia,23.025,112.754386
5,Czechia,27.8,111.1907216
6,Denmark,28.2,115.3178808
7,England,110.178,146.592
8,Finland,11.75,87.80128205
9,France,67.581,133.0829493
10,Germany,81.624,136.2396313
11,Gibraltar,5.291,76.21428571
12,Greece,28.825,113.8255814
13,Hungary,21.625,106.7466667
14,Iceland,8.417,93.64084507
15,Israel,26.125,91.03703704
16,Italy,86.855,104.5942857
17,Latvia,10.5,139.3276596
18,Netherlands,62.1,83.83333333
19,Northern Ireland,9.208,119.8761062
20,Norway,29.25,77.93506494
21,Poland,23.0,111.7926829
22,Portugal,59.149,108.4139535
23,Republic of Ireland,13.75,125.3542601
24,Romania,19.875,107.1116751
25,Scotland,39.45,111.3945578
26,Serbia,31.775,105.7883598
27,Slovakia,20.625,100.0138889
28,Slovenia,13.75,105.432
29,Spain,89.677,140.6352459
30,Sweden,24.375,109.1888112
31,Switzerland,34.575,116.9798658
32,Türkiye,40.85,118.8326693
33,Ukraine,31.9,105.9489796
34,Austria,33.3,
35,Belarus,6.75,
36,Belgium,45.4,
37,Bulgaria,21.125,
38,Croatia,24.275,
39,Czechia,32.7,
40,Denmark,35.825,
41,England,118.607,
42,Finland,13.5,
43,France,72.867,
44,Germany,82.624,
45,Gibraltar,5.458,
46,Greece,35.925,
47,Hungary,23.5,
48,Iceland,11.167,
49,Israel,33.625,
50,Italy,93.552,
51,Latvia,14.0,
52,Netherlands,65.7,
53,Northern Ireland,9.583,
54,Norway,33.25,
55,Poland,23.5,
56,Portugal,65.449,
57,Republic of Ireland,13.875,
58,Romania,20.5,
59,Scotland,39.6,
60,Serbia,31.675,
61,Slovakia,19.5,
62,Slovenia,16.0,
63,Spain,96.463,
64,Sweden,27.25,
65,Switzerland,37.275,
66,Türkiye,50.05,
67,Ukraine,30.3,
68,Austria,37.0,
69,Belarus,7.25,
70,Belgium,47.3,
71,Bulgaria,21.875,
72,Croatia,31.0,
73,Czechia,36.85,
74,Denmark,44.575,
75,England,122.125,
76,Finland,15.625,
77,France,80.237,
78,Germany,87.696,
79,Gibraltar,4.625,
80,Greece,44.575,
81,Hungary,24.75,
82,Iceland,12.917,
83,Israel,35.0,
84,Italy,99.553,
85,Latvia,15.375,
86,Netherlands,70.0,
87,Northern Ireland,8.875,
88,Norway,34.75,
89,Poland,26.5,
90,Portugal,73.249,
91,Republic of Ireland,13.125,
92,Romania,21.75,
93,Scotland,38.1,
94,Serbia,34.775,
95,Slovakia,21.0,
96,Slovenia,18.75,
97,Spain,97.884,
98,Sweden,27.625,
99,Switzerland,40.45,
100,Türkiye,52.35,
101,Ukraine,31.7,
102,,,
103,,,
104,,,
105,,,
106,,,
107,,,
108,,,
109,,,
110,,,
111,,,
112,,,
113,,,
114,,,
115,,,
116,,,
117,,,
118,,,
119,,,
120,,,
121,,,
122,,,
123,,,
124,,,
125,,,
126,,,
127,,,
128,,,
129,,,
130,,,
131,,,
132,,,
133,,,
134,,,
135,,,
